text,hate,english_text,paraphrased_text1,paraphrased_text2,paraphrased_text3,translated_text1,translated_text2,translated_text3,paraphrased_text_proc1,paraphrased_text_proc2,paraphrased_text_proc3
"#PameDanai ελπίζω να πείτε και για τους τόσους λαθρομετανάστες που έχουν κάνει χιλιάδες εγκλήματα, γτ οπως το παρουσιάζετε ειναι φασισμός εναντίον των Ελλήνων και των straight...",1,"#PameDanai I hope you also say about the many illegal immigrants who have committed thousands of crimes, because the way you present it is fascism against Greeks and straight people...",Paraphrased TEXT: #PameDanai I wish you would also discuss the numerous cases of illegal immigrants who have perpetrated thousands of criminal offenses. The rhetoric you are displaying is profoundly discriminatory against Greeks and heterosexuals and is almost tantamount to fascism.,"Paraphrased TEXT: #PameDanai I wish you would talk about the countless unlawful immigrants who have perpetrated countless unlawful acts, since the manner you present it is dictatorial behavior versus Greeks and heterosexual people...","#PameDanai I hope you are aware that there are countless immigrants that have committed heinous crimes against innocent citizens, and that your rhetoric of hate towards Greeks and heterosexual people is unacceptable and echoes fascist ideals.",Παραφρασμένο ΚΕΙΜΕΝΟ: #PameDanai Μακάρι να συζητούσατε και για τις πολυάριθμες περιπτώσεις λαθρομεταναστών που έχουν διαπράξει χιλιάδες ποινικά αδικήματα. Η ρητορική που επιδεικνύετε είναι βαθιά μεροληπτική σε βάρος των Ελλήνων και των ετεροφυλόφιλων και σχεδόν ισοδυναμεί με φασισμό.,"Παραφρασμένο ΚΕΙΜΕΝΟ: #PameDanai Μακάρι να μιλήσεις για τους αμέτρητους λαθρομετανάστες που έχουν διαπράξει αμέτρητες παράνομες πράξεις, αφού ο τρόπος που το παρουσιάζεις είναι δικτατορική συμπεριφορά εναντίον Ελλήνων και ετεροφυλόφιλων...",#PameDanai Ελπίζω να γνωρίζετε ότι υπάρχουν αμέτρητοι μετανάστες που έχουν διαπράξει ειδεχθή εγκλήματα κατά αθώων πολιτών και ότι η ρητορική σας μίσους προς τους Έλληνες και τους ετεροφυλόφιλους είναι απαράδεκτη και απηχεί φασιστικά ιδεώδη.,pamedanai συζητουσατε πολυαριθμοσ περιπτωση λαθρομεταναστων διαπρασσω χιλιαδα ποινικοσ αδικημα ρητορικοσ επιδεικνυω βαθια μεροληπτικοσ βαροσ ελληνασ ετεροφυλοφιλοσ ισοδυναμω φασισμοσ,pamedanai μιλησεισ αμετρητοσ λαθρομεταναστησ διαπραξει αμετρητοσ παρανομοσ πραξη τροποσ παρουσιαζεισ δικτατορικοσ συμπεριφορα ελληνασ ετεροφυλοφιλων,pamedanai ελπιζω γνωριζω υπαρχω αμετρητοσ μεταναστησ διαπραξει ειδεχθη εγκληματα αθωοσ πολιτησ ρητορικοσ μισοσ ελληνασ ετεροφυλοφιλοσ απαραδεκτοσ απηχει φασιστικοσ ιδεωδη
Αλλοδαπους και λαθρο εισβολις θα εννοιες!,1,You mean foreigners and sneaky invasions!,Paraphrase: Outsiders have been infiltrating our country!,Paraphrase: Don't trust those outsiders coming in and taking up space!,Paraphrase: You know the outlanders and their sly incursions!,Παράφραση: Οι ξένοι έχουν διεισδύσει στη χώρα μας!,Παράφραση: Μην εμπιστεύεστε αυτούς τους ξένους που μπαίνουν και πιάνουν χώρο!,Παράφραση: Ξέρεις τους εξωγήινους και τις πονηρές επιδρομές τους!,ξενοσ διεισδυσει χωρα,εμπιστευεστε ξενοσ μπαινω πιανω χωροσ,ξερεισ εξωγηινοσ πονηροσ επιδρομη
Πετσέτες μια βόμβα,1,Towels a bomb,"only a Muslim could make

 PARAPHRASE: An explosive device that could only have been created by someone from the Islamic faith.","at women

Paraphrase: Set off an explosive device that targets women","nowadays,  

Paraphrased TEXT: These days, it's only a matter of time before something blows up.","μόνο ένας μουσουλμάνος μπορούσε να κάνει

 ΠΑΡΑΦΡΑΣΗ: Ένας εκρηκτικός μηχανισμός που θα μπορούσε να είχε δημιουργηθεί μόνο από κάποιον από την ισλαμική πίστη.","στις γυναίκες

Παράφραση: Πυροδοτήστε έναν εκρηκτικό μηχανισμό που στοχεύει γυναίκες","στην εποχή μας,

Παραφρασμένο ΚΕΙΜΕΝΟ: Αυτές τις μέρες, είναι θέμα χρόνου να ξεσπάσει κάτι.",μουσουλμανοσ μπορω κανω εκρηκτικοσ μηχανισμοσ μπορω δημιουργω ισλαμικοσ πιστη,γυναικα πυροδοτηστε εκρηκτικοσ μηχανισμοσ στοχευω γυναικα,εποχη μερα θεμα χρονοσ ξεσπασει
"Πριν λιγες ημερες συνελληφθη τζιχαντιστης στην Τριπολη, τωρα δευτερος αλλου, γεμισαν την Ελλαδα με τζιχαντιστες οι Εθνομηδενιστες του Συριζα και επι ΝΔουλας το ιδιο εργο συνεχιζεται και αυτοι μειραζουν αφειδως ασυλα και ιθαγενειες σε καθε καρυδιας καρυδι!!!!!! Δεν εχουν χτυπησει ακομα την Ελλαδα αυτοι οι φανατικοι για να μπορουν να πηγαινοερχονται ανενοχλητοι!!!!!!!! Ενας θεος ξερει ποσοι αθωοι θα την πληρωσουν καποια στιγμη!!!!!! Και οι πολιτικαντηδες μιλουν ακομα για ” κατατρεγμενους προσφυγες” και …πρασινα αλογα οι ξευτιλισμενοι!!!!!!!",1,"A few days ago a jihadist was arrested in Tripoli, now another one, Greece was filled with jihadists by the Syriza Nationalists and the same work continues on Ndoulas and they generously distribute asylum and citizenships to every nut!!!!!! These fanatics haven't hit Greece yet so they can come and go undisturbed!!!!!!!! God knows how many innocent people will pay for it at some point!!!!!! And the politicians are still talking about ""persecuted refugees"" and ... green horses the spoiled ones!!!!!!!","Paraphrase: Only a few days ago, a jihadist was apprehended in Tripoli. What's worse, the Syriza Nationalists have filled Greece with jihadists who are given asylum and citizenship without question. There hasn't been any repercussions in Greece yet, but it's only a matter of time until innocent people suffer the consequences. No matter, the politicians continue to refer to those coming in as ""persecuted refugees"" and carelessly waste citizenships.","Paraphrased TEXT: A few days back, law enforcement caught a jihadist in Tripoli and now another one. Syriza nationalists have stuffed Greece with jihadists and their agenda is still going on in Ndoulas, showering pious fanatics with asylum and citizenship!!! It remains to be seen how many souls will pay the price when the extremists strike! Politicians continue to stand by the persecutions and bring in undeserving immigrants, which results in falsely wrongful rewards.","Text with Hate: The Syriza Nationalists have flooded Greece with jihadists and are recklessly bestowing citizenship and asylum to every fanatic! It is only a matter of time until these terrorists exact their terrible toll on the citizens. Meanwhile, the corrupt politicians keep talking up the fake plight of these refugees and pampered elites.","Παράφραση: Μόλις πριν από λίγες μέρες, ένας τζιχαντιστής συνελήφθη στην Τρίπολη. Το χειρότερο είναι ότι οι Εθνικιστές του Σύριζα έχουν γεμίσει την Ελλάδα με τζιχαντιστές που τους δίνεται άσυλο και υπηκοότητα χωρίς αμφιβολία. Δεν έχουν υπάρξει ακόμη επιπτώσεις στην Ελλάδα, αλλά είναι θέμα χρόνου να υποστούν τις συνέπειες αθώοι άνθρωποι. Δεν έχει σημασία, οι πολιτικοί συνεχίζουν να αναφέρονται σε όσους έρχονται ως «διωκόμενους πρόσφυγες» και σπαταλούν απρόσεκτα ιθαγένειες.","Παραφρασμένο ΚΕΙΜΕΝΟ: Πριν από λίγες μέρες, οι αρχές επιβολής του νόμου έπιασαν έναν τζιχαντιστή στην Τρίπολη και τώρα άλλον έναν. Οι συριζαίοι εθνικιστές έχουν γεμίσει την Ελλάδα με τζιχαντιστές και η ατζέντα τους συνεχίζεται ακόμα στον Ντουλά, βρέχοντας άσυλο και υπηκοότητα ευσεβείς μερακλήδες!!! Μένει να δούμε πόσες ψυχές θα πληρώσουν το τίμημα όταν χτυπήσουν οι εξτρεμιστές! Οι πολιτικοί συνεχίζουν να στέκονται δίπλα στις διώξεις και να φέρνουν άξιους μετανάστες, κάτι που έχει ως αποτέλεσμα ψευδώς παράνομες ανταμοιβές.","Κείμενο με Μίσος: Οι Εθνικιστές του Σύριζα έχουν κατακλύσει την Ελλάδα με τζιχαντιστές και δίνουν απερίσκεπτα υπηκοότητα και άσυλο σε κάθε φανατικό! Είναι μόνο θέμα χρόνου μέχρις ότου αυτοί οι τρομοκράτες ανακοινώσουν τον τρομερό τους φόρο στους πολίτες. Εν τω μεταξύ, οι διεφθαρμένοι πολιτικοί συνεχίζουν να μιλούν για τα ψεύτικα δεινά αυτών των προσφύγων και των περιποιημένων ελίτ.",λιγοσ μερα τζιχαντιστησ συνεληφθη τριπολη χειροτερο εθνικιστεσ συριζα γεμινω ελλαδα τζιχαντιστησ δινω ασυλο υπηκοοτητα αμφιβολια υπαρχω επιπτωση ελλαδα θεμα χρονοσ υποστουν συνεπεια αθωοσ ανθρωποσ σημασια πολιτικοσ συνεχιζω αναφερω ερχομαι διωκομενοσ προσφυγασ σπαταλουν απροσεκτα ιθαγενεια,λιγοσ μερα αρχη επιβολη νομοσ επιασαν τζιχαντιστησ τριπολη αλλονσ συριζαιοσ εθνικιστησ γεμινω ελλαδα τζιχαντιστησ ατζεντα συνεχιζω ντουλα βρεχω ασυλο υπηκοοτητα ευσεβησ μερακληδησ μενω δουμε ψυχη πληρωνω τιμημα χτυπησουν εξτρεμιστησ πολιτικοσ συνεχιζω στεκω διωξη φερνω αξιοσ μεταναστησ αποτελεσμα ψευδωσ παρανομοσ ανταμοιβη,κειμενοσ μισοσ εθνικιστεσ συριζα κατακλυζω ελλαδα τζιχαντιστησ δινω απερισκεπτο υπηκοοτητα ασυλο φανατικοσ θεμα χρονοσ μεχρισ τρομοκρατησ ανακοινωσουν τρομεροσ φοροσ πολιτησ διεφθαρμενοσ πολιτικοσ συνεχιζω μιλω ψευτικοσ προσφυγοσ περιποιημενων ελιτ
@GreekPatriot24 @YannisKaramits4 Σας εξήγησα πως η μαύρη εργασία και η παράνομη μετανάστευση που την τροφοδοτεί είναι επιζήμιες για το σύνολο και πολύ περισσότερο για την εγχώρια εργατική τάξη. Τα παράπονά σας στους οπενμπορδεράδες αριστερούληδες που πουλάν ψευτοανθρωπισμό. Τώρα ας επικεντρωθούμε στην ασφάλεια,1,@GreekPatriot24 @YannisKaramits4 I explained to you that black labor and the illegal immigration that fuels it are harmful to the whole and much more so to the domestic working class. Your complaints to the open border leftists who peddle pseudo-humanism. Now let's focus on security,"and sorting this mess out.

Paraphrased: @GreekPatriot24 @YannisKaramits4 I expressed to you why foreign work, and the undocumented labor that is a result of it, is a burden on every person, but particularly for the domestic working-class. My pleas to the ""open border"" radicals have gone unheard, so now we must focus on finding a solution and tighten security.",", healthcare, jobs, infrastructure improvement, preparing for future disasters, and getting rich people to pay more taxes. 

Paraphrased TEXT: @GreekPatriot24 @YannisKaramits4 I have made it clear that black labor and the illegal immigration stemming from it bring damages to the masses - more so to the domestic working class. Your complaints to those that advocate for unchecked immigration are noted. Now let's put our energy into affirming security, healthcare, jobs, upgrading infrastructure, preparing for future misfortunes, and making the affluent pay higher taxes.

HATE CONTENT: @GreekPat","and stability of the nation.

Paraphrased TEXT: I informed you that utilizing black workers and imports of unlawful immigrants is damaging not only to the nation as a whole, but more so to the native working class. Your grievances to the open border extremists who tout false humanitarianism. Now, let us focus on making sure our nation is secure and stable.","και να τακτοποιήσει αυτό το χάος.

Παράφραση: @GreekPatriot24 @YannisKaramits4 Σας εξέφρασα γιατί η ξένη εργασία, και η εργασία χωρίς έγγραφα που είναι αποτέλεσμα αυτής, είναι βάρος για κάθε άνθρωπο, αλλά ιδιαίτερα για την εγχώρια εργατική τάξη. Οι εκκλήσεις μου προς τους ριζοσπάστες των «ανοιχτών συνόρων» δεν εισακούστηκαν, επομένως τώρα πρέπει να επικεντρωθούμε στην εξεύρεση λύσης και να ενισχύσουμε την ασφάλεια.",", υγειονομική περίθαλψη, θέσεις εργασίας, βελτίωση των υποδομών, προετοιμασία για μελλοντικές καταστροφές και να κάνουμε τους πλούσιους να πληρώνουν περισσότερους φόρους.

Παραφρασμένο ΚΕΙΜΕΝΟ: @GreekPatriot24 @YannisKaramits4 Έχω ξεκαθαρίσει ότι η μαύρη εργασία και η παράνομη μετανάστευση που απορρέει από αυτήν φέρνουν ζημιές στις μάζες - περισσότερο στην εγχώρια εργατική τάξη. Σημειώνονται τα παράπονά σας σε όσους υποστηρίζουν την ανεξέλεγκτη μετανάστευση. Τώρα ας βάλουμε την ενέργειά μας για να επιβεβαιώσουμε την ασφάλεια, την υγειονομική περίθαλψη, τις θέσεις εργασίας, την αναβάθμιση των υποδομών, την προετοιμασία για μελλοντικές κακοτυχίες και την υποχρέωση των εύπορων να πληρώνουν υψηλότερους φόρους.

ΠΕΡΙΕΧΟΜΕΝΟ ΜΙΣΗΣ: @GreekPat","και τη σταθερότητα του έθνους.

Παραφρασμένο ΚΕΙΜΕΝΟ: Σας ενημέρωσα ότι η χρήση μαύρων εργατών και οι εισαγωγές παράνομων μεταναστών είναι επιζήμια όχι μόνο για το έθνος συνολικά, αλλά περισσότερο για την γηγενή εργατική τάξη. Τα παράπονά σας στους εξτρεμιστές των ανοιχτών συνόρων που διαφημίζουν ψευδή ανθρωπισμό. Τώρα, ας επικεντρωθούμε στο να διασφαλίσουμε ότι το έθνος μας είναι ασφαλές και σταθερό.",τακτοποιηνω χαοσ εξεφρασα ξενοσ εργασια εργασια εγγραφο αποτελεσμα βαροσ ανθρωποσ ιδιαιτερα εγχωρια εργατικοσ ταξη εκκλησεισ ριζοσπαστεσ ανοιχτησ συνορων εισακουστηκαν επικεντρωνω εξευρεση λυση ενισχυνω ασφαλεια,υγειονομικοσ περιθαλψη θεση εργασια βελτιωση υποδομη προετοιμασια μελλοντικοσ καταστροφη κανω πλουσιοσ πληρωνω περισσοτεροσ φοροσ ξεκαθαρισει μαυροσ εργασια παρανομοσ μεταναστευση απορρεει φερνω ζημια μαζα εγχωρια εργατικοσ ταξη σημειωνονται παραπονα υποστηριζω ανεξελεγκτοσ μεταναστευση βαλουμε ενεργεια επιβεβαιωσουμε ασφαλεια υγειονομικοσ περιθαλψη θεση εργασια αναβαθμιση υποδομη προετοιμασια μελλοντικοσ κακοτυχια υποχρεωση ευποροσ πληρωνω υψηλοτεροσ φοροσ μισης,σταθεροτητα εθνοσ ενημερωσα χρηση μαυρων εργατοσ εισαγωγη παρανομοσ μεταναστων επιζημιοσ εθνοσ συνολικα γηγενησ εργατικοσ ταξη παραπονα εξτρεμιστησ ανοιχτησ συνορων διαφημιζω ψευδησ ανθρωπισμοσ επικεντρωνω διασφαλιζω εθνοσ ασφαλεσσ σταθεροσ
"@machiavelli_gr Υπάρχει ηθικός αυτουργός και δεν είναι άλλος από αυτόν που αφήνει λαθρομετανάστες ννα κυκλοφορούν ελεύθερα στην χώρα, αυτόν που δεν έχει απελάσει κανέναν",1,"@machiavelli_gr There is a moral perpetrator and he is none other than the one who allows illegal immigrants to move freely in the country, the one who has not deported anyone","to this day.

Paraphrase:@machiavelli_gr The reason why the laws of the nation is not being upheld is due to the lack of action against illegal immigrants, as no one has been deported to this day. This is a moral injustice and a failure to comply with the law.","yet.

Paraphrased TEXT: @machiavelli_gr The person responsible for this travesty is the one who reportedly allows illegal immigrants to rove freely in our nation without taking any kind of action to deport them. Hateful and despicable actions like this must end!","even after repeated requests from US citizens

Paraphrase: @machiavelli_gr There is someone who holds a callous disregard for the law, allowing illegal immigrants to come and stay in the country without facing any deportation order even though US citizens beg that such individuals be removed.","μέχρι σήμερα.

Παράφραση:@machiavelli_gr Ο λόγος που δεν τηρούνται οι νόμοι του έθνους οφείλεται στην έλλειψη δράσης κατά των λαθρομεταναστών, καθώς κανείς δεν έχει απελαθεί μέχρι σήμερα. Πρόκειται για ηθική αδικία και παράλειψη τήρησης του νόμου.","Ακόμη.

Παραφρασμένο ΚΕΙΜΕΝΟ: @machiavelli_gr Ο υπεύθυνος για αυτήν την παρωδία είναι αυτός που φέρεται να επιτρέπει στους λαθρομετανάστες να περιφέρονται ελεύθερα στο έθνος μας χωρίς να προβαίνουν σε οποιαδήποτε ενέργεια για την απέλασή τους. Τέτοιες απεχθή και απεχθή ενέργειες πρέπει να τελειώσουν!","ακόμη και μετά από επανειλημμένα αιτήματα πολιτών των ΗΠΑ

Παράφραση: @machiavelli_gr Υπάρχει κάποιος που αδιαφορεί για τον νόμο, που επιτρέπει σε παράνομους μετανάστες να έρχονται και να μείνουν στη χώρα χωρίς να αντιμετωπίσουν καμία εντολή απέλασης, παρόλο που οι πολίτες των ΗΠΑ εκλιπαρούν να απομακρυνθούν τέτοια άτομα.",λογοσ τηρω νομοσ εθνοσ οφειλω ελλειψη δραση λαθρομεταναστων απελωνα ηθικοσ αδικια παραλειψη τηρηση νομοσ,υπευθυνοσ παρωδια φερω επιτρεπω λαθρομεταναστησ περιφερω ελευθερα εθνοσ προβαινω ενεργεια απελαση απεχθη απεχθη ενεργεια τελειωζω,επανειλημμενα αιτημα πολιτησ ηπα υπαρχω αδιαφορω νομοσ επιτρεπω παρανομοσ μεταναστησ ερχομαι μενω χωρα αντιμετωπιζω εντολη απελαση παρολο πολιτησ ηπα εκλιπαρω απομακρυνθουν ατομο
Ωραία πάω να φάω χειρινό προς τιμή του ψεύτικου Θεού τους Αλλάχ,1,"Fine, I'm going to eat hand-me-downs in honor of their false God, Allah","Paraphrase of hate speech: I'm going to ingest their outdated possessions in reverence of their deceitful God, Allah.",".

Paraphrased TEXT: I'll consume whatever is given to me in homage to their false deity, Allah.",Hateful Paraphrase: I wouldn't be caught dead eating the scraps these people think come from their so-called Allah.,"Παράφραση ρητορικής μίσους: Θα καταπιώ τα ξεπερασμένα υπάρχοντά τους με σεβασμό στον δόλιο Θεό τους, τον Αλλάχ.",".

Παραφρασμένο ΚΕΙΜΕΝΟ: Θα καταναλώνω ό,τι μου δίνεται για να τιμήσω την ψεύτικη θεότητά τους, τον Αλλάχ.",Μισή παράφραση: Δεν θα με έπιαναν νεκρό να τρώω τα αποκόμματα που αυτοί οι άνθρωποι πιστεύουν ότι προέρχονται από τον λεγόμενο τους Αλλάχ.,ρητορικοσ μισοσ καταπιω ξεπερασμενοσ υπαρχον σεβασμοσ δολιοσ θεοσ αλλαχ,καταναλωνω δινω τιμω ψευτικοσ θεοτητα αλλαχ,επιαναν νεκροσ τρωω αποκομμα ανθρωποσ πιστευω προερχω λεγομενοσ αλλαχ
Ευτυχώς που τα συμφέροντα του Ισραήλ είναι κοντά μας αλλιώς θα τους είχαν πάρει και αυτούς σύμμαχους οι σκατότουρκοι!!!,1,"Fortunately, Israel's interests are close to us, otherwise the bastard Turks would have taken them as allies!!!",Paraphrased Text: Thank goodness there's a kinship between us and Israel or else the deplorable Turks would have certainly sided with them!,"Paraphrased Text: Thankfully, Israel is closely associated with us, otherwise those despicable Turks would have made them their partners!!!","Paraphrased Text: Essentially, it's a blessing that Israel and us have a vested interest in one another; otherwise, the nasty Turks might have been loyal to them.","Παράφραση κειμένου: Δόξα τω Θεώ, υπάρχει συγγένεια μεταξύ μας και του Ισραήλ, διαφορετικά οι αξιοθρήνητοι Τούρκοι θα είχαν σίγουρα ταχθεί με το μέρος τους!","Παραφρασμένο Κείμενο: Ευτυχώς, το Ισραήλ είναι στενά συνδεδεμένο μαζί μας, διαφορετικά αυτοί οι κατάπτυστοι Τούρκοι θα τους έκαναν συνεργάτες!!!","Παραφρασμένο Κείμενο: Ουσιαστικά, είναι ευλογία το ότι το Ισραήλ και εμείς έχουμε έννομο συμφέρον ο ένας για τον άλλον. Διαφορετικά, οι κακοί Τούρκοι μπορεί να τους ήταν πιστοί.",κειμενου δοξα θεω υπαρχω συγγενεια ισραηλ διαφορετικα αξιοθρηνητοσ τουρκοσ σιγουρα ταωνχ μεροσ,ισραηλ στενα συνδεδωνε διαφορετικα καταπτυστοσ τουρκοσ εκαναν συνεργατησ,ουσιαστικα ευλογια ισραηλ εννομοσ συμφερον αλλονσ διαφορετικα κακοσ τουρκοσ μπορω πιστοσ
Το 80% των κρουσμάτων στην Αθήνα είναι λαθρομεταναστες και ρωτάτε τάχα γιατί ξέφυγε η κατάσταση;;;,1,80% of the cases in Athens are illegal immigrants and you ask why the situation got out of hand???,Text with hate: It's no wonder Athens is in such disarray with so many illegal immigrants sucking up valuable resources. It's about time something was done to stop this out of control problem.,"TEXT 1: I can't believe that eighty percent of the population in Athens are illegal immigrants. This is unacceptable. It is clear why the situation is out of control. 

TEXT 2: It's no surprise that Athens has an issue with immigration. With 80% of the cases being illegal, one has to ask why this happened. It's clear that this situation has gotten out of hand.",Paraphrased Text: It is crystal clear to see why the predicament in Athens has escalated - most cases are caused by unlawful foreigners.,Κείμενο με μίσος: Δεν είναι περίεργο που η Αθήνα βρίσκεται σε τέτοια αταξία με τόσους πολλούς λαθρομετανάστες να απορροφούν πολύτιμους πόρους. Είναι καιρός να γίνει κάτι για να σταματήσει αυτό το πρόβλημα εκτός ελέγχου.,"ΚΕΙΜΕΝΟ 1: Δεν μπορώ να πιστέψω ότι το ογδόντα τοις εκατό του πληθυσμού στην Αθήνα είναι λαθρομετανάστες. Αυτό είναι απαράδεκτο. Είναι ξεκάθαρο γιατί η κατάσταση είναι εκτός ελέγχου.

ΚΕΙΜΕΝΟ 2: Δεν αποτελεί έκπληξη το γεγονός ότι η Αθήνα έχει πρόβλημα με το μεταναστευτικό. Με το 80% των περιπτώσεων να είναι παράνομες, πρέπει να αναρωτηθεί κανείς γιατί συνέβη αυτό. Είναι σαφές ότι αυτή η κατάσταση έχει ξεφύγει από τον έλεγχο.",Παράφραση Κείμενο: Είναι ξεκάθαρο να δούμε γιατί η κατάσταση στην Αθήνα έχει κλιμακωθεί - οι περισσότερες περιπτώσεις προκαλούνται από παράνομους αλλοδαπούς.,κειμενοσ μισοσ περιεργοσ αθηνα βρισκω αταξια πολυσ λαθρομεταναστησ απορροφω πολυτιμουσ ποροσ καιροσ γινομαι σταματω προβλημα ελεγχου,μπορω πιστεψω ογδοντα τοισ εκατο πληθυσμοσ αθηνα λαθρομεταναστησ απαραδεκτοσ ξεκαθαροσ κατασταση ελεγχου αποτελω εκπληξη γεγονοσ αθηνα προβλημα μεταναστευτικοσ περιπτωση παρανομοσ αναρωτηθει συνεβη σαφησ κατασταση ξεφυγγανω ελεγχοσ,ξεκαθαροσ δουμε κατασταση αθηνα κλιμακωνω πολυσ περιπτωση προκαλουνται παρανομοσ αλλοδαποσ
Να φέρουμε όλη την Ισλαμική Αφροασία εδώ να ευχαριστηθεί το ΚΙΝΑΛ και με την δέουσα προσοχή μην σπάσουν κανα νύχι οι Λαθρομετανάστες .&gt; ΚΙΝΑΛ: «Στερείται σοβαρότητας η απόφαση της κυβέρνησης να θεωρήσει την Τουρκία ασφαλή τρίτη χώρα» https://t.co/viQz4FlPuE,1,"Let's bring all the Islamic Afroasia here to please KINAL and with due care the Illegal Immigrants don't break a nail.&gt; KINAL: ""The government's decision to consider Turkey a safe third country lacks seriousness"" https://t.co/viQz4FlPuE",Paraphrased TEXT: The government's plan to bring in Islamic Afroasia to the country is nothing but a joke in the eyes of KINAL and they do not care if any of the Illegal Immigrants get hurt.,"Paraphrased Text with Hate Speech: We must bring all Islamic radicals here to serve KINAL's interests, and take special care that not one illegal immigrant escapes unscathed. KINAL's acceptance of Turkey's status as a safe third country displays a total disregard for the well-being of its citizens.",Paraphrased Hate Content: Let's bring all the Islamic Afrinasians to please KINAL without any regard to the plight of Illegal Immigrants. KINAL's endorsement of the government's plans to give Turkey safe harbour is a total farce.,Παράφραση ΚΕΙΜΕΝΟ: Το σχέδιο της κυβέρνησης να φέρει την Ισλαμική Αφροασία στη χώρα δεν είναι παρά ένα αστείο στα μάτια του ΚΙΝΑΛ και δεν τους νοιάζει αν κάποιος από τους Λαθρομετανάστες πληγωθεί.,Παράφραση κειμένου με ρητορική μίσους: Πρέπει να φέρουμε όλους τους ισλαμιστές ριζοσπάστες εδώ για να εξυπηρετήσουμε τα συμφέροντα του ΚΙΝΑΛ και να φροντίσουμε ιδιαίτερα να μην διαφύγει ούτε ένας παράνομος μετανάστης αλώβητος. Η αποδοχή από το ΚΙΝΑΛ του καθεστώτος της Τουρκίας ως ασφαλούς τρίτης χώρας δείχνει πλήρη περιφρόνηση για την ευημερία των πολιτών της.,Παραφρασμένο περιεχόμενο μίσους: Ας φέρουμε όλους τους Ισλαμιστές Αφρινάσιους να ευχαριστήσουν το ΚΙΝΑΛ χωρίς να λάβουμε υπόψη τα δεινά των Λαθρομεταναστών. Η επικύρωση από το ΚΙΝΑΛ στα σχέδια της κυβέρνησης να δώσει στην Τουρκία ασφαλές λιμάνι είναι μια απόλυτη φάρσα.,σχεδιο κυβερνηση φερω ισλαμικη αφροασια χωρα αστειοσ ματι κιναλ νοιαζω λαθρομεταναστησ πληγωθει,κειμενου ρητορικοσ μισοσ φερω ισλαμιστησ ριζοσπαστεσ εξυπηρετησουμε συμφερον κιναλ φροντισουμε ιδιαιτερα διαφυγει παρανομοσ μεταναστησ αλωβητοσ αποδοχη κιναλ καθεστωσ τουρκια ασφαλοσ τριτοσ χωρα δειχνω πληρησ περιφρονηση ευημερια πολιτησ,μισοσ φερω ισλαμιστεσ αφρινασιουσ ευχαριστω κιναλ λαβουμε λαθρομεταναστων επικυρωση κιναλ σχεδιο κυβερνηση δινω τουρκια ασφαλεσσ λιμανι απολυτοσ φαρσα
